dynamic_family_id,structural_mode_id,dynamic_structural_submode_id,n,fraction_within_dynamic,fraction_within_structural,approx_medoid_real_row,median_H_abs,IQR_H_mean
D002,S019,D002-S019,115,0.0186325340246273,0.0833333333333333,49323,6.0940470695495605,35.51829147338867
D002,S020,D002-S020,118,0.0191186001296176,0.0817740817740817,57391,6.849514484405518,34.98263931274414
D002,S021,D002-S021,121,0.0196046662346079,0.0899628252788104,17256,6.641530513763428,34.6982536315918
D002,S022,D002-S022,122,0.0197666882696046,0.0919366993217784,21252,6.378464221954346,34.8247184753418
D002,S023,D002-S023,109,0.0176604018146467,0.0821401657874905,34101,5.866001129150391,37.65756607055664
D002,S024,D002-S024,116,0.0187945560596241,0.0861812778603269,44120,6.076837062835693,34.85248947143555
D002,S025,D002-S025,262,0.042449773169151,0.1878136200716846,7798,5.696931838989258,34.607704162597656
D002,S026,D002-S026,129,0.0209008425145819,0.0977272727272727,61808,6.317997932434082,35.333831787109375
D002,S027,D002-S027,136,0.0220349967595593,0.1041347626339969,61227,6.435042858123779,33.62217330932617
D002,S028,D002-S028,138,0.0223590408295528,0.1002906976744186,7392,5.577163219451904,34.74795150756836
D002,S029,D002-S029,101,0.0163642255346727,0.0773353751914242,30928,6.420050144195557,35.2675666809082
D002,S030,D002-S030,110,0.0178224238496435,0.0952380952380952,46634,8.800636291503906,33.68165588378906
D002,S031,D002-S031,117,0.0189565780946208,0.1065573770491803,56561,8.278018951416016,33.928741455078125
D002,S032,D002-S032,96,0.0155541153596889,0.0756501182033096,61801,8.09732437133789,33.91056060791016
D002,S033,D002-S033,150,0.0243033052495139,0.1358695652173913,19214,6.902811050415039,35.180747985839844
D002,S034,D002-S034,219,0.0354828256642903,0.1852791878172588,32274,5.508614540100098,34.9814567565918
D002,S035,D002-S035,142,0.0230071289695398,0.1170651277823578,2279,6.938544273376465,35.187625885009766
D002,S036,D002-S036,142,0.0230071289695398,0.1251101321585903,23374,6.4678263664245605,34.321128845214844
D002,S037,D002-S037,131,0.0212248865845755,0.1351909184726522,19674,7.451229572296143,35.42627716064453
D003,S000,D003-S000,328,0.0553679945982444,0.1876430205949656,49595,3.740952253341675,37.01131057739258
D003,S001,D003-S001,337,0.0568872383524645,0.2089274643521388,19194,3.3457813262939453,36.94954681396485
D003,S002,D003-S002,331,0.0558744091829844,0.0432679738562091,42477,2.64045786857605,32.264404296875
D003,S003,D003-S003,321,0.0541863605671843,0.1250486949746786,23207,4.182705402374268,40.61270904541016
D003,S004,D003-S004,285,0.0481093855503038,0.1191969887076537,50784,5.791579723358154,41.46307373046875
D003,S005,D003-S005,259,0.0437204591492235,0.1211979410388394,33726,5.164379596710205,40.820594787597656
D003,S006,D003-S006,284,0.0479405806887238,0.11620294599018,56071,5.450150012969971,38.8383674621582
D003,S007,D003-S007,233,0.0393315327481431,0.0983122362869198,58381,5.369909763336182,39.56678771972656
D003,S008,D003-S008,126,0.0212694125590817,0.0853080568720379,57288,6.091351509094238,38.28499221801758
D003,S009,D003-S009,135,0.0227886563133018,0.0904825737265415,17122,5.397580623626709,36.07188034057617
D003,S010,D003-S010,103,0.0173869007427413,0.0689424364123159,8991,5.716326713562012,36.274147033691406
D003,S011,D003-S011,137,0.0231262660364618,0.0925675675675675,22838,5.839847564697266,34.30302810668945
D003,S012,D003-S012,151,0.025489534098582,0.1115214180206794,28532,5.920472621917725,37.652130126953125
D003,S013,D003-S013,112,0.0189061444969615,0.0801144492131616,26178,5.861495494842529,37.19843673706055
D003,S014,D003-S014,164,0.0276839972991222,0.1359867330016583,34189,5.048289299011231,36.30747222900391
D003,S015,D003-S015,131,0.0221134368669817,0.0925795053003533,27391,5.508430480957031,37.51099395751953
D003,S016,D003-S016,168,0.0283592167454422,0.1282442748091603,61487,4.784661293029785,36.2536506652832
D003,S017,D003-S017,132,0.0222822417285617,0.1112984822934232,40619,5.029552459716797,35.03288269042969
D003,S018,D003-S018,110,0.0185685347738014,0.0864779874213836,4449,6.227282524108887,36.76595687866211
D003,S019,D003-S019,130,0.0219446320054017,0.0942028985507246,24279,4.958484172821045,36.546329498291016
D003,S020,D003-S020,139,0.0234638757596218,0.0963270963270963,44018,6.600116729736328,36.90200424194336
D003,S021,D003-S021,110,0.0185685347738014,0.0817843866171003,34743,6.90458345413208,35.084434509277344
D003,S022,D003-S022,111,0.0187373396353815,0.0836473247927656,11605,6.6928229331970215,38.1630973815918
D003,S023,D003-S023,118,0.0199189736664415,0.0889223813112283,44098,6.0521650314331055,35.09063720703125
D003,S024,D003-S024,116,0.0195813639432815,0.0861812778603269,37206,5.209219932556152,36.39160537719727
D003,S025,D003-S025,114,0.0192437542201215,0.0817204301075268,11331,5.1719231605529785,35.267616271972656
D003,S026,D003-S026,111,0.0187373396353815,0.084090909090909,61549,5.301138877868652,35.38054656982422
D003,S027,D003-S027,90,0.0151924375422012,0.0689127105666156,4895,5.847884178161621,34.91293716430664
D003,S028,D003-S028,108,0.0182309250506414,0.0784883720930232,60481,5.802299499511719,34.97141647338867
D003,S029,D003-S029,118,0.0199189736664415,0.0903522205206738,19522,6.503288269042969,36.36419677734375
