context,dynamic_family,metric,n_targets,model_mae,random_mae,delta_model_minus_random,reduction_vs_random,model_better_vs_random,nn_mae,delta_model_minus_nn,model_better_vs_nn
c12,D000,c_l1,59,0.04953966708509832,0.17808322221887216,-0.12854355513377383,0.7218173252491362,0.847457627118644,0.03187500002694757,0.01766466705815075,0.3898305084745763
c12,D002,eta,54,0.07919669601721958,0.3625821997422243,-0.2833855037250047,0.7815758852102392,0.9074074074074074,0.06063265249906563,0.018564043518153953,0.5
c12,D002,tau_transfer,54,2.3597719060076363,7.1571829512886245,-4.797411045280988,0.6702931974677595,0.7777777777777778,1.6490785742388685,0.7106933317687678,0.37037037037037035
c12,D002,ipr,54,0.04980438485947841,0.14672280965579265,-0.09691842479631424,0.6605545860502671,0.8518518518518519,0.02299304410213253,0.026811340757345883,0.37037037037037035
c12,D002,purity,54,0.05298852082888663,0.14353710219544896,-0.09054858136656233,0.6308374627994496,0.7592592592592593,0.024465314888018095,0.028523205940868535,0.2962962962962963
c12,D002,c_l1,54,0.041764696325585576,0.1911730325855271,-0.14940833625994152,0.7815345827769884,0.8888888888888888,0.04028988328140043,0.001474813044185147,0.5
c12,D001,eta,50,0.0795347244786515,0.37227739961661327,-0.29274267513796176,0.7863562908719153,0.86,0.05041343093595129,0.029121293542700204,0.4
c12,D001,tau_transfer,50,2.6048692925400316,8.104720395232064,-5.499851102692032,0.6785984999467158,0.84,1.7569635364291378,0.8479057561108938,0.36
c12,D001,ipr,50,0.04810939336762712,0.186420095208483,-0.13831070184085587,0.7419302178028395,0.92,0.018636408296068527,0.02947298507155859,0.3
c12,D001,purity,50,0.048117925945666974,0.18247847584182675,-0.13436054989615978,0.7363090319354935,0.88,0.020096331152283424,0.02802159479338355,0.32
c12,D001,c_l1,50,0.04084897034568393,0.14857235663785506,-0.10772338629217112,0.7250567247495896,0.82,0.03065434533353359,0.010194625012150342,0.48
c12,D003,eta,47,0.0937508225921409,0.3584356894598643,-0.2646848668677234,0.7384445094365006,0.7872340425531915,0.051608175598284386,0.04214264699385652,0.3617021276595745
c12,D003,tau_transfer,47,2.439529875745209,8.262200481447248,-5.822670605702039,0.7047360589684106,0.8297872340425532,1.7168385067689287,0.7226913689762804,0.3829787234042553
c12,D003,ipr,47,0.04932517143691383,0.12230953262926443,-0.0729843611923506,0.5967185028298274,0.7872340425531915,0.01669217145550987,0.03263299998140396,0.1702127659574468
c12,D003,purity,47,0.05179478618897288,0.12192588823767789,-0.07013110204870501,0.5751945141625213,0.7659574468085106,0.018003060032204928,0.033791726156767954,0.14893617021276595
c12,D003,c_l1,47,0.03865138181256695,0.138815365269108,-0.10016398345654107,0.7215626545545788,0.9148936170212766,0.029688568514538587,0.008962813298028362,0.5319148936170213
c12,D010,eta,19,0.0824271287486849,0.3718708393020039,-0.28944371055331897,0.7783447368355114,0.8421052631578947,0.05689723386892113,0.025529894879763766,0.42105263157894735
c12,D010,tau_transfer,19,2.8426702344585775,7.365623148790545,-4.522952914331967,0.6140624931475959,0.7894736842105263,1.2696487673871488,1.5730214670714286,0.2631578947368421
c12,D010,ipr,19,0.042314677708008654,0.12994586566209487,-0.08763118795408623,0.6743668796817148,0.8421052631578947,0.019258723790076364,0.02305595391793229,0.21052631578947367
c12,D010,purity,19,0.0413915969274292,0.13007933730299784,-0.08868774037556865,0.6817972955150097,0.9473684210526315,0.01983817904973074,0.021553417877698457,0.3157894736842105
c12,D010,c_l1,19,0.038482782110759416,0.16112236007785463,-0.12263957796709521,0.7611580286425518,0.8947368421052632,0.04549865792170469,-0.007015875810945274,0.5789473684210527
c12,D005,eta,28,0.08983868678038416,0.3530554361414434,-0.26321674936105927,0.7455394321009905,0.8214285714285714,0.0620501983262582,0.02778848845412596,0.6071428571428571
c12,D005,tau_transfer,28,2.237600764883219,6.792204819964374,-4.554604055081155,0.670563414356083,0.75,1.6682260494809833,0.5693747154022357,0.42857142857142855
c12,D005,ipr,28,0.03527262951797956,0.1510183337509546,-0.11574570423297505,0.7664347854867217,0.8214285714285714,0.022480138299594558,0.012792491218385004,0.39285714285714285
