method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,83,0.13168137480843867,29.186586888224497,0.34259530041518915,0.38769111199672746,0.4744768188075746,0.25834417,28.8861,0.3619847,0.40253738,0.45567232,48295,0.12666279862295782,0.300486119181528,0.019389399549334163,0.014846263691825401,0.018804495103808716
model,77,0.981121442873535,8.104137296343502,0.20210341441004978,0.22664323493058555,0.5678682977982507,0.96104586,13.033727,0.18100923,0.20873229,0.61596453,8251,0.020075581629333317,4.929589395856205,0.021094181412155494,0.017910942874501873,0.04809623410024788
model,86,0.800848480968192,20.566677102733284,0.28467569709327456,0.29311896493031164,0.37710400069921973,0.6466955,23.988289,0.27970874,0.28765595,0.32606697,4107,0.1541529863163975,3.4216117766612477,0.004966953997876611,0.005463015337721311,0.05103702987402442
model,85,0.866045018296437,12.629293601217213,0.2076000320138772,0.21000297057535972,0.20291477774683175,0.84018725,10.883569,0.21391621,0.21809272,0.22822689,64679,0.02585776672859641,1.7457248374843033,0.006316180306450564,0.008089754105540858,0.02531210745271506
model,76,0.356054656820839,21.69175279062376,0.2395121552709514,0.24554364411978385,0.2723021958145332,0.7675487,16.072035,0.23194991,0.23660281,0.28200436,95966,0.411494023484642,5.61971795480833,0.007562244749444141,0.008940831114336467,0.009702160569744156
model,88,0.7126878780031028,20.866136290620698,0.6014522736173404,0.603990049134489,0.15971527243470302,0.48985597,22.574947,0.6303898,0.63209766,0.13119675,90441,0.22283190309045942,1.7088110665570362,0.028937535991119034,0.02810761236071979,0.02851852024411311
model,89,0.4316080228674236,26.986076861023374,0.3041777528016025,0.3081985993435905,0.2026306571051361,0.38836735,27.611963,0.26168185,0.26483282,0.21164095,84205,0.043240667997581084,0.6258864110713525,0.04249589807671844,0.043365774874977836,0.009010296912503046
model,92,0.6832309321774865,16.970695522151452,0.20807791431979342,0.21137071408651445,0.22056344240139247,0.67514026,14.355022,0.2481612,0.25377217,0.2566046,107365,0.00809067052740109,2.61567309173153,0.04008328238888578,0.04240145526506331,0.036041169472234236
model,91,0.780524928267099,14.181828528201173,0.3118734419303675,0.318944663319968,0.2415621419642446,0.7754382,13.57105,0.24259923,0.25187498,0.23061833,87033,0.005086738760568199,0.6107788379545909,0.06927420794542027,0.06706968000926855,0.010943814108180766
model,96,0.25671303386384436,25.078379850821854,0.20004700793261504,0.20894098787106455,0.2985165194662903,0.45572323,22.520437,0.22139704,0.2307772,0.32520247,85534,0.1990101922065597,2.557942610221268,0.021350034341860058,0.021836216165648098,0.026685945591082727
model,90,0.49811656852967595,24.376842018764414,0.29748362795067906,0.3080077377880783,0.30009182057301254,0.62825906,21.258476,0.2420109,0.25033903,0.34484452,68647,0.13014249423735286,3.118365761440195,0.05547272161198735,0.05766870656859585,0.04475269951899796
model,87,0.44740010201996805,25.691127253081394,0.22886888275778597,0.24177006772157492,0.3396534449223385,0.50196135,22.163916,0.2749696,0.28339043,0.2803597,13073,0.054561248421010955,3.5272116189261205,0.04610072483384306,0.04162036487463175,0.05929375950134852
model,97,0.9414752202412733,12.261669811622745,0.288569339102281,0.2923335288444288,0.19094357813054422,0.8888163,14.852062,0.30021733,0.30192927,0.17083138,87802,0.05265892318698251,2.5903924137190515,0.011647991353499032,0.009595736416267597,0.02011219585591653
model,94,0.9459685674167997,7.10398040394341,0.28273333859000566,0.2890268705339353,0.2927225834646298,0.95812285,8.599814,0.39020193,0.39981133,0.30177665,3418,0.012154282047616816,1.495834011034617,0.10746858764137862,0.1107844569234927,0.009054064103119208
model,100,0.5099596605391055,24.544845743149523,0.378267697495417,0.38025560729966834,0.18530780436063782,0.448897,24.891273,0.34677616,0.3497091,0.18294977,128721,0.06106265641160302,0.3464277553856334,0.03149153987784803,0.030546513728959113,0.002358037843952332
model,95,0.3534876477082359,25.409031296104573,0.24275428704655955,0.2516148469423986,0.2844255997392585,0.19651225,26.84561,0.2628127,0.2727467,0.2764581,5376,0.15697539561587442,1.4365783688124196,0.020058416801325585,0.021131865026977004,0.007967485353653658
model,99,0.34193337175493205,22.417245628559787,0.22044836333130263,0.23034653013202955,0.419501421046232,0.4667186,22.163942,0.2250121,0.23329534,0.41175765,112128,0.12478524234647786,0.25330329152365394,0.004563730451122294,0.0029488062336702203,0.007743773055051584
model,98,0.8695614499877409,16.737626303611478,0.18661243026814706,0.19419018148890177,0.3332086969441562,0.85772574,16.761538,0.18706726,0.19379604,0.34753338,19714,0.011835710508675934,0.02391124826840496,0.0004548251096224143,0.00039414286127725795,0.014324678080639308
model,93,0.9819115379759404,4.818324651700777,0.5505287502049238,0.557340001317173,0.2720002009748014,0.9862209,4.992883,0.3819591,0.38894114,0.26344714,40735,0.004309358268108632,0.17455855371304096,0.1685696397064954,0.16839886233440016,0.008553065287926986
model,102,0.20070367675596337,23.52586320740298,0.30730494144240394,0.3167302916978854,0.3039654288348754,0.2560727,27.185375,0.30448842,0.30994168,0.29291958,111415,0.05536902326768775,3.6595120062200657,0.0028165209559537496,0.006788612458612342,0.01104585266681507
model,105,0.3084483744970508,20.427598529128066,0.2923267937145502,0.3092986696818875,0.40944126813121257,0.19462454,24.111979,0.29124674,0.29981074,0.36894187,61083,0.11382383130704837,3.6843800017557236,0.0010800517044336488,0.009487932310442815,0.040499394819216106
model,101,0.20456006858871603,25.716766694996892,0.2569066553591973,0.2685557708866937,0.3551995082904833,0.18957847,27.44778,0.26025674,0.26997843,0.32319087,41700,0.014981595020753385,1.7310139141339675,0.0033500821114295087,0.0014226629607336783,0.03200864038963491
model,103,0.14022642737308844,28.975050259878348,0.4783033474340465,0.4789592439449045,0.07238465937747515,0.41071266,28.079338,0.3259311,0.32747525,0.12081507,41846,0.27048623198588984,0.895712186147879,0.1523722453966167,0.15148399417760106,0.04843040910587751
model,110,0.532167388859948,22.311344921000124,0.34206692031061947,0.34444601026335686,0.20277042364558143,0.67912954,22.619465,0.33696523,0.33971024,0.20639324,77021,0.1469621520603096,0.3081199532674539,0.005101687223079798,0.004735774667653736,0.003622818236742792
model,104,0.6874903381869721,23.934830612204188,0.1868198619500245,0.202106255134665,0.3875265257514154,0.6528381,21.131826,0.23231246,0.24861024,0.4301315,88985,0.03465222726320505,2.8030042114473517,0.04549259382332907,0.046503988066590785,0.0426049692475165
