target_id,eta,tau_transfer,ipr,purity,c_l1,dataset_index
241,0.9245767,9.835166,0.29755396,0.32644728,0.38868377,103589
242,0.5976879,22.338085,0.2626575,0.3146407,0.52752966,8463
243,0.9736238,12.105621,0.29644313,0.31168774,0.4676204,100731
244,0.97604,4.076639,0.2797953,0.32368872,0.56989783,16512
245,0.96457726,11.064753,0.20988674,0.22788495,0.4876974,125001
246,0.81628245,17.2654,0.1774206,0.19805776,0.61438125,99304
247,0.8557076,14.390379,0.30840245,0.37506026,0.5678094,59368
248,0.5286346,21.211502,0.22244284,0.25232762,0.56189287,135254
249,0.34231502,25.90376,0.25250646,0.2626259,0.3366831,31376
250,0.59944224,22.630375,0.2234351,0.23458858,0.3840917,43095
251,0.503693,22.85769,0.29215786,0.295182,0.21559742,94578
252,0.8442917,12.085671,0.24455297,0.26482847,0.3846271,54985
253,0.72779435,16.673859,0.25857168,0.26630026,0.3865754,13421
254,0.7968547,18.645573,0.49175027,0.4992052,0.25957227,14240
255,0.7083659,18.70371,0.24550048,0.26725075,0.51385146,48132
256,0.9134295,13.021815,0.21295598,0.23470072,0.5485922,57668
257,0.5782253,22.619211,0.30117878,0.30450645,0.2280414,36940
258,0.9824236,9.724348,0.21044233,0.23029381,0.51846653,33477
259,0.9172222,11.376332,0.21989527,0.29873827,0.8243051,52426
260,0.5971405,24.50838,0.32135475,0.32503062,0.2820252,38779
261,0.8585684,14.2007885,0.25513637,0.29645187,0.52818686,91841
262,0.020702537,28.997772,0.7701232,0.7711211,0.13712277,24873
263,0.8966085,12.671608,0.39034554,0.4013261,0.36303815,51934
264,0.052459534,28.339094,0.3252173,0.33479056,0.25707704,39532
265,0.87256724,11.510583,0.26516834,0.28399855,0.28436866,31062
266,0.29948872,24.913795,0.44163948,0.4461289,0.2384472,50183
267,0.7044345,22.294357,0.26164585,0.26541677,0.22317527,36167
268,0.6832746,17.090548,0.26792148,0.2834196,0.40337574,8665
269,0.17031556,21.382309,0.22443794,0.25195977,0.3877402,76263
270,0.9905427,8.425476,0.24991564,0.26711765,0.4856078,35307
271,0.9666776,11.373203,0.18051122,0.19229783,0.42983165,3600
272,0.34110647,26.640862,0.27078304,0.32109302,0.48733088,22106
273,0.4112961,26.475035,0.37116262,0.3724164,0.13212761,4726
274,0.98767126,4.3296614,0.2382341,0.27962372,0.5912923,40472
275,0.50767136,22.754032,0.21536247,0.23122686,0.39781028,75375
276,0.87499845,7.6722603,0.26142305,0.29634565,0.42765832,72147
277,0.7035127,19.36888,0.22432528,0.23307046,0.37396392,63301
278,0.3403389,24.13241,0.24628319,0.26130217,0.47656867,54225
279,0.87947303,20.354042,0.41001642,0.41278175,0.20789205,113564
280,0.053582173,27.387335,0.38918698,0.3955653,0.2267816,81275
281,0.9785827,6.7831244,0.31473753,0.3415968,0.48362392,33040
282,0.098473705,27.787012,0.7885107,0.7911142,0.14258045,10154
283,0.9169395,4.2195415,0.29325196,0.32434544,0.4232211,28013
284,0.94863003,3.9497595,0.38458106,0.39139143,0.23233356,64595
285,0.5383165,25.504929,0.25300983,0.25603256,0.21325514,101396
286,0.13756576,25.181318,0.28689077,0.29042092,0.19157448,76265
287,0.9724585,11.131249,0.19539723,0.21733171,0.51052403,75669
288,0.8090895,9.103118,0.27225062,0.28069246,0.251169,137408
289,0.37279156,19.20243,0.28224108,0.28331393,0.1267166,103445
290,0.9592784,12.128454,0.34557536,0.3493677,0.22845373,92865
291,0.44090167,25.284513,0.25462192,0.25806665,0.22859465,46257
292,0.95820147,10.146467,0.23355508,0.24389672,0.41561747,41425
293,0.6343021,22.703932,0.38604996,0.50838137,0.7699292,54336
294,0.83460915,15.194866,0.2382669,0.24308197,0.25055584,68603
295,0.20137583,22.813358,0.2420166,0.24741398,0.25468296,172
296,0.9812167,4.9363704,0.24906309,0.28835976,0.54516137,123016
297,0.6875048,23.04109,0.56519747,0.5686443,0.22414039,41918
298,0.961938,11.166701,0.29986548,0.3183474,0.4789732,116501
299,0.10203388,26.510551,0.33324665,0.33710477,0.1958459,83289
300,0.490944,23.12739,0.25164253,0.3019152,0.6454462,81192
301,0.923299,14.699223,0.30026478,0.3555695,0.6123233,98843
302,0.5867815,19.040152,0.26382,0.2698244,0.2739238,118308
303,0.14542727,24.447695,0.36044312,0.36110398,0.09438489,39536
304,0.90485644,12.909215,0.2646462,0.2729385,0.37923038,14631
305,0.3854943,21.239113,0.25528932,0.28744483,0.48869804,73046
306,0.9186843,2.886876,0.279381,0.3340104,0.44246468,92435
307,0.9102682,8.709953,0.25203067,0.26211572,0.29503158,33698
308,0.4348035,21.646608,0.211076,0.29017657,0.8920513,39362
309,0.9647048,7.9841905,0.19930682,0.20805982,0.37749887,71514
310,0.30567494,27.366968,0.5179925,0.51924,0.13638976,117528
311,0.25995806,18.83032,0.21972083,0.24762735,0.5050828,131305
312,0.92470616,8.289946,0.41474327,0.4221024,0.2142116,36270
313,0.66858584,24.711943,0.30780885,0.31068867,0.20432056,126305
314,0.657395,22.130531,0.5336939,0.5518591,0.41703588,19407
315,0.23976566,25.276556,0.44294608,0.4741078,0.37475488,57889
316,0.23105118,28.889288,0.557855,0.5610712,0.16851021,106156
317,0.45700952,24.155535,0.26423794,0.2692116,0.28750113,125247
318,0.7394128,17.904608,0.23486462,0.25301483,0.3827207,92795
319,0.89365727,16.786804,0.32529032,0.3571512,0.44236517,6400
320,0.32275113,28.142456,0.28867918,0.29126674,0.22427547,43454
321,0.9050683,11.274244,0.3446026,0.34796268,0.1711779,24302
322,0.94564897,13.800077,0.1814734,0.2639116,1.0787532,134431
323,0.8050401,14.9229355,0.22444968,0.23672551,0.36564004,89991
324,0.6402763,23.677908,0.4627116,0.46429175,0.15736014,58068
325,0.30077958,25.690079,0.5367874,0.5396353,0.13487516,8442
326,0.7691884,18.937822,0.26469985,0.2769085,0.3884387,88077
327,0.732066,14.123938,0.24891457,0.26345873,0.29674077,107582
328,0.9191997,13.772166,0.4102315,0.42607796,0.3466368,104320
329,0.41259184,27.475092,0.44638544,0.45441663,0.2732255,137267
330,0.9717661,12.911549,0.22539449,0.24735048,0.52861905,4810
331,0.8560561,15.76437,0.29652497,0.30799785,0.25539446,110343
332,0.93799037,11.271418,0.24299385,0.24889544,0.28999135,49176
333,0.8681791,18.227242,0.22086164,0.24349432,0.50858754,41159
334,0.330599,23.561222,0.23971626,0.24284868,0.21254627,10270
335,0.97456056,8.709268,0.19734758,0.2071362,0.3424488,121837
336,0.027540525,24.195015,0.702881,0.70330316,0.07366444,30030
337,0.5943585,22.772343,0.3816662,0.38638133,0.21377258,60972
338,0.36463356,27.009958,0.31489873,0.3163603,0.15160444,75095
339,0.74119526,15.460986,0.2534969,0.25991252,0.26770148,5749
340,0.85701734,8.216132,0.2765919,0.28981075,0.31186992,63652
341,0.9050151,18.699442,0.42024383,0.42450008,0.24924581,80826
342,0.8546216,17.806498,0.29050747,0.30768958,0.33445007,1331
343,0.7034151,19.68113,0.33106682,0.38792288,0.6058313,92981
344,0.50458926,23.130035,0.25564048,0.2622711,0.291332,25673
345,0.30130863,25.175379,0.19328962,0.2053981,0.4114699,32015
346,0.7752736,19.406694,0.4986808,0.50538456,0.24310313,46005
347,0.58710676,21.892153,0.21306601,0.22027192,0.3254593,74040
348,0.5409324,21.753227,0.38500348,0.38675088,0.1553964,50131
349,0.93265074,7.4492674,0.30763975,0.31141207,0.2108651,52836
350,0.9066476,9.459951,0.24396086,0.25258455,0.28588873,10853
351,0.6695798,21.5644,0.2356383,0.23902915,0.1832147,29405
352,0.4784927,20.775179,0.68206495,0.69098955,0.2314612,83794
353,0.508977,24.81757,0.57029223,0.57133555,0.1462439,76415
354,0.69928706,21.260862,0.23150632,0.2393943,0.3283905,136889
355,0.82905596,15.367041,0.20931473,0.22283678,0.45504782,39837
356,0.27781293,27.503887,0.23664585,0.2400437,0.18906361,76996
357,0.86240333,16.007492,0.36390293,0.36720103,0.22759818,86257
358,0.6073094,22.492666,0.24542265,0.248188,0.22020233,61418
